"Link";"ID";"Brand Name";"Product Name";"Calories";"Caffeine Blend";"Creatine";"Beta_Alanine";"L_Theanine";"L_Citrulline";"L_Tyrosine";"Taurine";"Betaine";"Citrulline_Malate";"Agmatine_Sulfate";"Nitrosigine";"Theobromine";"Huperzine_A";"Other_ingredients";"WOMAN";"PUMP";"STRENGTH";"ENERGY";"FOCUS";"ENDURANCE"
"https://dsld.od.nih.gov/label/252281";252281;"JYM Supplement Science";"Pre JYM Refreshing Melon";80;300;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/253158";253158;"GHOST";"Legend Warheads Sour Green Apple";0;250;0.0;2.0;0.0;4.0;0;1000.0;0.0;0.0;0.0;750.0;50.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/254215";254215;"Kilo Labs";"Hybrid Mega Dosed Preworkout Blue Ras Cotton Candy";0;400;0.0;3.2;0.0;0.0;0;0.0;0.0;6.0;0.0;0.0;150.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/254294";254294;"XTEND";"The Original Blue Raspberry Ice";0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/254675";254675;"Axe & Sledge Supplements";"Demo Day Big Cherries";90;0;0.0;0.0;0.0;0.0;0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/254780";254780;"Axe & Sledge Supplements";"Seventh Gear Your Mom's Lemonade";0;175;0.75;1.6;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/254789";254789;"Axe & Sledge Supplements";"Seventh Gear Your Mom's Sweet Peach";0;175;0.75;1.6;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/254791";254791;"Axe & Sledge Supplements";"Seventh Gear HWMF";0;175;0.75;1.6;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/254792";254792;"Axe & Sledge Supplements";"Seventh Gear Raspberry Lemonade";0;175;0.75;1.6;0.0;0.0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/254801";254801;"Nutrabolt";"C4 Ultimate Icy Blue Razz";5;300;0.0;0.0;0.0;0.0;400;0.0;0.0;0.0;0.0;0.0;0.0;0.05;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/254802";254802;"Nutrabolt";"C4 Ultimate Strawberry Watermelon";5;300;0.0;0.0;0.0;0.0;400;0.0;0.0;0.0;0.0;0.0;0.0;0.05;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/254854";254854;"Axe & Sledge Supplements";"Betaine Unflavored";0;0;0.0;0.0;0.0;0.0;0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/254859";254859;"Axe & Sledge Supplements";"Demo Day Big Melons";90;0;0.0;0.0;0.0;0.0;0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/254862";254862;"Axe & Sledge Supplements";"Citrulline Unflavored";0;0;0.0;0.0;0.0;5.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255119";255119;"ALLMAX";"Impact Igniter Fruit Punch";40;400;0.0;4.8;0.0;0.0;0;1500.0;0.0;9.0;0.0;0.0;0.0;0.0;"";0;0;0;1;0;0
"https://dsld.od.nih.gov/label/255126";255126;"Axe & Sledge Supplements";"Hydraulic HWMF";0;0;0.75;0.0;0.0;2.5;625;1000.0;0.0;0.0;500.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255142";255142;"Axe & Sledge Supplements";"Hydraulic ICEE Blue Raspberry";0;0;0.75;0.0;0.0;2.5;625;1000.0;0.0;0.0;500.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255144";255144;"Axe & Sledge Supplements";"Hydraulic ICEE Cherry";0;0;0.75;0.0;0.0;2.5;625;1000.0;0.0;0.0;500.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255145";255145;"Axe & Sledge Supplements";"Hydraulic Lemon Lime";0;0;0.75;0.0;0.0;2.5;625;1000.0;0.0;0.0;500.0;0.0;0.0;0.0;"";0;0;0;0;0;0
"https://dsld.od.nih.gov/label/255147";255147;"Axe & Sledge Supplements";"Hydraulic Scorpion Venom";0;0;0.75;0.0;0.0;2.5;625;1000.0;0.0;0.0;500.0;0.0;0.0;0.0;"";0;0;0;0;0;0
